Hospital Name,City,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
MARSHALL MEDICAL CENTER SOUTH,BOAZ,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
MIZELL MEMORIAL HOSPITAL,OPP,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Below the national average,Same as the national average,Below the national average,Above the national average,Not Available
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
ST VINCENT'S EAST,BIRMINGHAM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average
CALLAHAN EYE HOSPITAL,BIRMINGHAM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average
DALE MEDICAL CENTER,OZARK,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
